Employee_ID;First_Name;Last_Name;Gender;Birth_Date;Job_Title;Job_catgegory;Salary;Experience_Level;Work_Setting;Location;Company_Size;Hire_Date
2015L1992;JACQUELYN;ANDERSON;Female;04/20/1992;BI Data Analyst;Data Analysis;50000;Entry-level;Remote;Kenya;S;07/15/2018
2015M1992;SEAN;GARVEY;Male;04/20/1992;BI Data Analyst;Data Analysis;85000;Entry-level;Remote;United States;M;07/30/2015
2015N1992;JORGE;ROBLES;Male;04/20/1992;BI Data Analyst;Data Analysis;99000;Entry-level;Remote;United States;L;07/15/2015
2015N1980;MICHAEL;BREIER;Male;11/20/1980;BI Data Analyst;Data Analysis;70000;Mid-level;Remote;United States;M;08/20/2012
2015O1992;MARY ELIZABETH;YOPCHICK;Female;04/20/1992;BI Data Analyst;Data Analysis;60000;Entry-level;Remote;United States;M;07/15/2015
2015P1992;NELSON;LEWIS;Male;04/20/1992;BI Data Analyst;Data Analysis;57000;Entry-level;Remote;United States;L;08/20/2016
2015Q1992;TAHIR;WILLIAMS;Male;04/20/1992;BI Data Analyst;Data Analysis;55000;Entry-level;Hybrid;United States;S;02/15/2015
2015O1980;JOHNNIE;MCKINNEY JR;Male;11/20/1980;BI Data Analyst;Data Analysis;100000;Mid-level;Remote;United States;M;08/20/2012
200A1969;MAIESHA;BAPTISTE;Male;09/20/1969;BI Data Analyst;Data Analysis;150000;Executive;Remote;United States;L;08/20/2008
2015P1980;MARITA;SULLIVAN;Female;11/20/1980;BI Data Analyst;Data Analysis;98000;Mid-level;In-person;United States;M;08/20/2012
2015Q1980;CHERYL;BYNUM;Female;11/20/1980;Data Analyst;Data Analysis;95000;Mid-level;Remote;United States;M;08/20/2012
2015B1980;NIRMALA;GONU;Female;11/20/1980;Data Analyst;Data Analysis;75000;Mid-level;Remote;United States;M;08/20/2012
2015A1980;ALEXANDRA;BOUZIOTIS;Male;11/20/1980;Data Analyst;Data Analysis;115000;Mid-level;In-person;United States;M;08/20/2012
2015C1980;PATRICIA;SMITH;Female;11/20/1980;Data Analyst;Data Analysis;105000;Mid-level;In-person;United States;M;08/20/2012
2015D1980;LIGI;ABRAHAM;Male;11/20/1980;Data Analyst;Data Analysis;104000;Mid-level;In-person;United States;M;08/20/2012
2010X1960;RICHARD;MACCARTHY;Male;04/20/1960;Data Analyst;Data Analysis;157500;Senior;Remote;United States;M;06/30/2010
2010A1960;ROBERT;CLARK;Male;04/20/1960;Data Analyst;Data Analysis;132500;Senior;Remote;United States;M;06/30/2010
2015I1980;RICHARD;LESIAK;Male;11/20/1980;Data Analyst;Data Analysis;85000;Mid-level;In-person;United States;M;08/20/2012
2015J1980;ROBERT;PAPINEAU;Male;11/20/1980;Data Analyst;Data Analysis;75000;Mid-level;In-person;United States;M;08/20/2012
2010I1960;MAE;WRIGHT;Female;04/20/1960;Data Analyst;Data Analysis;93918;Senior;In-person;United States;M;06/30/2010
2010O1960;SALLY;ZAMORANO;Female;04/20/1960;Data Analyst;Data Analysis;51962;Senior;In-person;United States;M;06/30/2010
2010P1960;MELISSA;AFRIYIE;Female;04/20/1960;Data Analyst;Data Analysis;166000;Senior;In-person;United States;M;06/30/2010
2010J1960;TUSHAR;ADVANI;Male;04/20/1960;Data Analyst;Data Analysis;73000;Senior;In-person;United States;M;06/30/2010
2015R1992;JOY;COLEMAN;Female;04/20/1992;Data Analyst;Data Analysis;90000;Entry-level;Remote;United States;S;06/30/2015
2015S1992;DANIEL;ADUGBA;Male;04/20/1992;Data Analyst;Data Analysis;60000;Entry-level;Remote;United States;S;07/30/2015
2010H1960;JOY;MARTINEZ;Female;04/20/1960;Data Analyst;Data Analysis;80000;Senior;Remote;United States;S;06/30/2010
